"month","1951-1960","1961-1970","1971-1980","1981-1990","1991-2000","2001-2010","2011-2020","Current Climatology Trend (1991-2020)"
"JUN",32.68,0.01,41.68,22.37,30.95,28.88,19.25,
"JUL",78.85,6.4,104.92,46.31,68.03,38.95,51.69,
"AUG",88.96,57.25,80.01,38.71,76.23,57.91,64.3,
"SEP",35.74,63.56,50.9,36.85,52.13,25.41,32.01,
"OCT",18.43,176.29,22.97,11.78,15.8,10.47,19.68,
"NOV",1.52,76.56,1.78,0.99,2.28,1.32,0.8,
"DEC",0.71,27.23,1,1.23,1.05,1.19,0.69,
"JAN",0.61,1.91,1.87,0.73,0.94,0.37,0.44,
"FEB",0.38,1.12,1.05,0.22,0.22,0.21,0.19,
"MAR",0.87,0.21,0.35,2.91,2.4,0.53,1.01,
"APR",1.84,0.07,4.34,9.36,1.81,3.44,0.17,
"MAY",18.62,0.02,17.14,33.25,12.85,20.38,7.44,
"JUN",48.47,0.24,34.67,44.8,27.71,28.1,15.23,
"JUL",42.62,0.15,55.79,70.98,73.47,60.16,29.34,
"AUG",51.14,28.88,90.69,53.7,55.64,60.81,43.2,
"SEP",45.47,65.68,45.32,52.33,43.15,37.11,21.68,
"OCT",30.27,96.65,12.5,18.02,15.32,13.83,14.03,
"NOV",2.4,19.24,1.22,3.97,1.19,0.7,0.73,
"DEC",0.73,5.89,0.79,1.12,0.66,0.59,1.35,
"JAN",0.3,1.91,0.95,0.77,0.4,0.49,0.77,
"FEB",0.31,2.93,0.64,0.46,0.33,0.32,0.36,
"MAR",0.23,0.1,1.14,1.62,5.86,0.38,0.79,
"APR",2.19,0.08,5.49,1.75,3.15,0.42,1.74,
"MAY",9.2,0.36,18.39,4.09,35.34,20.52,11.58,
"JUN",22.24,0.05,28.3,33.27,35.54,20.78,20.68,
"JUL",65.63,0.41,66.25,65.26,54.73,45.26,49.19,
"AUG",102.6,23.91,40.44,38.85,65.49,59.97,53.08,
"SEP",45.35,59.66,43.5,59.21,55.11,42.38,21.59,
"OCT",17.79,89.58,27.31,23.13,22.33,17.91,6.74,
"NOV",0.7,56.47,3.81,1.16,2.23,0.85,0.49,
"DEC",0.98,14.21,1.14,0.72,0.94,0.58,1.1,
"JAN",0.74,1.67,0.24,0.88,0.62,0.66,0.71,
"FEB",0.62,0.61,0.26,0.72,0.26,0.24,0.56,
"MAR",2.53,7.65,0.53,1.55,0.49,0.24,0.13,
"APR",0.52,3.55,1.96,1.37,11.17,2.55,2.99,
"MAY",17.69,1.76,20.94,36.18,13.41,7.03,19.87,
"JUN",28.88,2.21,41.16,33.3,30.77,29.05,18.75,
"JUL",46.81,11.68,65.9,43.03,74.37,85.39,32.07,
"AUG",53.35,39.25,88.17,61.88,65.48,62.23,43.88,
"SEP",59.11,31.41,25.7,39.5,31.71,28.02,28.1,
"OCT",25.06,31.36,22.74,16.2,21.52,9.42,4.83,
"NOV",5.59,2.75,0.98,0.78,4.79,1.63,0.72,
"DEC",1.17,0.85,0.76,0.71,1.04,0.81,0.38,
"JAN",0.64,0.56,0.72,0.68,0.32,1.88,0.39,
"FEB",0.32,0.51,0.59,0.3,0.2,0.47,0.55,
"MAR",0.16,0.16,1.09,2,0.47,0.17,0.64,
"APR",12.89,0.69,15.18,1.34,3.02,7.77,0.4,
"MAY",15.54,3.09,20.22,19.83,13.68,7.83,14.94,
"JUN",33.35,13.61,31.98,32.19,20.65,16.43,21.72,
"JUL",57.97,59.24,94.2,70.96,62.87,41.86,49.89,
"AUG",40.73,56.4,69.08,100.36,83.12,50.51,61.98,
"SEP",30.78,39.08,31.67,43.91,50.22,37.04,30.29,
"OCT",17.78,11.67,17.59,11.95,22.43,9.91,8.14,
"NOV",2.27,1.89,0.6,0.74,0.73,0.71,1.26,
"DEC",0.76,0.83,1.06,0.5,0.68,0.74,0.96,
"JAN",0.64,0.32,1.71,0.45,1.83,0.8,0.88,
"FEB",0.25,0.86,2.37,0.17,0.45,0.36,0.76,
"MAR",0.6,5.7,1.17,2.35,0.06,0.15,0.02,
"APR",4.78,7.41,14.8,1.93,1.67,1.9,0.67,
"MAY",11.71,23.5,36.54,22.05,15.02,3.09,11.04,
"JUN",21.02,34.98,39.15,29.82,20.67,11.52,34.14,
"JUL",58.59,41.32,68.19,36.21,68.99,44.6,35.36,
"AUG",77.73,61.78,83.67,58.76,83.89,49.59,93.72,
"SEP",37.81,32.8,52.99,45.19,43.68,28.14,32.38,
"OCT",12.57,12.49,24.67,17.56,24.89,8.4,39.3,
"NOV",2.12,1.41,2.36,1.19,0.71,0.77,1.63,
"DEC",0.99,0.74,0.51,0.75,1.07,0.76,1.06,
"JAN",0.5,0.5,0.99,0.98,0.71,0.52,0.4,
"FEB",0.92,0.55,0.72,0.11,0.75,0.33,0.34,
"MAR",0.43,2.35,5.45,0.12,0.33,0.55,0.07,
"APR",4.36,5.84,4.89,1.15,4.2,0.76,0.22,
"MAY",8.86,16.34,33.2,9.04,11.92,6.83,5.41,
"JUN",23.61,16.62,45.97,18.98,26.02,18.63,10.56,
"JUL",38.41,75.07,73.32,57.71,57.22,56.81,42.61,
"AUG",46.93,69.28,55.92,32.69,44.92,59.69,98.04,
"SEP",43.62,41.83,32.24,33.49,29.89,32.19,23.76,
"OCT",28.92,16.02,21.97,13.1,12.88,18.01,5.7,
"NOV",1.07,1.29,1.2,0.89,1.58,0.94,0.82,
"DEC",1.26,1.01,0.75,0.62,1.04,0.71,0.81,
